====================================================================================================
COLDCARD Mk3 RNG EXPLOIT — DRAIN TIMELINE ANALYSIS (FULL, 100% COVERAGE)
====================================================================================================
Date: 2026-08-26 19:30
Addresses analyzed: 35,066 (of 35,188 victims)
  Unique drain dates: 1,899
  Total drained (first-drain sum): 10230.95 BTC
  Drain waves (>=10 addr/day, gap<=2d): 368
====================================================================================================

DRAIN WAVES
----------------------------------------------------------------------------------------------------
Wave 1: 2021-05-11 | 13 addresses | 7.08 BTC
2023-07-07           6         0.54      2812.89
2023-07-08           6         1.14      2814.03
2023-07-09          13         7.34      2821.37
2023-07-10          32         2.68      2824.05
2023-07-11           8         1.92      2825.97
2023-07-12           8         0.69      2826.66
2023-07-13          51         6.13      2832.79
2023-07-14          18         1.16      2833.95
2023-07-15          14         2.18      2836.13
2023-07-16          47         0.63      2836.76
2023-07-17           9         0.26      2837.03
2023-07-18          27         4.12      2841.15
2023-07-19          15        30.79      2871.93
2023-07-20           8         2.01      2873.95
2023-07-21           3         0.05      2874.00
2023-07-22           4         0.39      2874.39
2023-07-23           4         0.05      2874.44
2023-07-24          51         3.17      2877.60
2023-07-25           7         0.66      2878.26
2023-07-26           2         0.01      2878.27
2023-07-27           5         0.26      2878.53
2023-07-28           6         0.56      2879.08
2023-07-29          13         0.72      2879.81
2023-07-30          23         1.17      2880.98
2023-07-31          22         2.96      2883.94
2023-08-01          32         6.68      2890.62
2023-08-02           6        32.42      2923.04
2023-08-03           1         0.00      2923.05
2023-08-04          12         1.72      2924.77
2023-08-05          11        13.39      2938.15
2023-08-06           3         0.31      2938.47
2023-08-07           6         1.12      2939.59
2023-08-08           4        12.27      2951.86
2023-08-09           4         2.72      2954.58
2023-08-10           5         0.02      2954.60
2023-08-11          19         0.29      2954.89
2023-08-12           4         0.19      2955.07
2023-08-13           5         0.48      2955.55
2023-08-14          18         0.70      2956.25
2023-08-15           8         2.12      2958.37
2023-08-16           7        33.61      2991.98
2023-08-17          13         3.07      2995.05
2023-08-18          18         5.97      3001.02
2023-08-19          10         6.95      3007.97
2023-08-20           6         1.38      3009.35
2023-08-21           6         0.62      3009.97
2023-08-22           4         0.23      3010.20
2023-08-23          20         0.63      3010.83
2023-08-24           9         3.73      3014.57
2023-08-25          13         1.15      3015.71
2023-08-26          17         3.59      3019.30
2023-08-27          37        23.42      3042.72
2023-08-28           9         0.24      3042.96
2023-08-29           5         2.23      3045.19
2023-08-30          16        10.79      3055.98
2023-08-31           6         4.10      3060.08
2023-09-01          12         1.21      3061.29
2023-09-02           7         0.16      3061.44
2023-09-03           2         0.21      3061.65
2023-09-04           8         0.81      3062.46
2023-09-05           4         0.01      3062.47
2023-09-06           4         0.57      3063.04
2023-09-07           6         0.72      3063.76
2023-09-08           4         0.30      3064.06
2023-09-09           1         0.02      3064.09
2023-09-10           7         7.91      3072.00
2023-09-11           9         2.98      3074.98
2023-09-12           6         0.17      3075.15
2023-09-13          17         1.20      3076.35
2023-09-15           7         0.16      3076.51
2023-09-16          24         0.94      3077.44
2023-09-17           6         1.41      3078.85
2023-09-18           3         0.15      3079.01
2023-09-19           4         0.01      3079.01
2023-09-20           1         0.02      3079.03
2023-09-21           5         0.14      3079.17
2023-09-22           4         0.27      3079.44
2023-09-23           5         6.21      3085.65
2023-09-24          10         0.14      3085.79
2023-09-25           4         0.14      3085.93
2023-09-26           3         0.12      3086.05
2023-09-27           5        32.26      3118.31
2023-09-28           8         1.44      3119.75
2023-09-29           6         1.45      3121.20
2023-09-30          13         0.27      3121.48
2023-10-01          16         0.58      3122.06
2023-10-02          22        64.85      3186.91
2023-10-03           6         0.68      3187.59
2023-10-06           2         0.31      3187.90
2023-10-08           4         3.33      3191.23
2023-10-09           3         0.14      3191.38
2023-10-10           3         3.31      3194.69
2023-10-11          39         6.72      3201.40
2023-10-12          49         3.05      3204.45
2023-10-13           1         0.00      3204.45
2023-10-14          16         2.14      3206.59
2023-10-15           7         0.09      3206.68
2023-10-16           3         0.18      3206.86
2023-10-17           2         0.31      3207.17
2023-10-18           1         5.70      3212.87
2023-10-19          18         3.96      3216.83
2023-10-20          24         0.99      3217.81
2023-10-21           7        76.73      3294.54
2023-10-22          14         0.46      3295.00
2023-10-23           9         1.13      3296.13
2023-10-24          20        76.42      3372.54
2023-10-25          18        88.92      3461.46
2023-10-26           6         0.28      3461.74
2023-10-27           7         0.56      3462.30
2023-10-28          10         1.55      3463.85
2023-10-29          12         3.40      3467.25
2023-10-30          12         6.10      3473.35
2023-10-31           7         0.44      3473.79
2023-11-01          69         5.95      3479.74
2023-11-02          15         3.63      3483.37
2023-11-03           3         0.18      3483.54
2023-11-04           6         2.82      3486.36
2023-11-05           7         0.38      3486.74
2023-11-06           6         0.26      3487.00
2023-11-07           3         4.55      3491.55
2023-11-08           2         3.32      3494.87
2023-11-09           5         0.49      3495.36
2023-11-10           6        58.55      3553.91
2023-11-11           8        10.88      3564.79
2023-11-12           1         0.09      3564.87
2023-11-13           8        11.23      3576.11
2023-11-14          33         6.78      3582.89
2023-11-15           3         0.75      3583.64
2023-11-16           2         0.49      3584.13
2023-11-17           3         0.01      3584.14
2023-11-18           3         3.07      3587.21
2023-11-19           1         0.00      3587.21
2023-11-20          28         1.22      3588.43
2023-11-21           1         0.25      3588.68
2023-11-22           6         1.12      3589.81
2023-11-23          18         3.67      3593.47
2023-11-24          66         4.34      3597.82
2023-11-25          26         2.43      3600.24
2023-11-26          29         0.29      3600.53
2023-11-27           3         0.21      3600.74
2023-11-28          16         0.09      3600.83
2023-11-29          12         0.40      3601.24
2023-11-30          95         3.32      3604.56
2023-12-01          18         0.73      3605.30
2023-12-02          51         5.02      3610.32
2023-12-03          12         0.70      3611.02
2023-12-04          13         0.85      3611.87
2023-12-05           9         6.00      3617.87
2023-12-06          13         2.23      3620.10
2023-12-07          13         0.16      3620.26
2023-12-08          14         2.96      3623.22
2023-12-09          46         6.10      3629.32
2023-12-10           3         0.11      3629.43
2023-12-11          17         3.18      3632.61
2023-12-12           4         0.34      3632.94
2023-12-13           1         0.01      3632.95
2023-12-14           3         0.66      3633.61
2023-12-15           5         0.43      3634.04
2023-12-16           2         0.01      3634.05
2023-12-17          11         6.27      3640.31
2023-12-18           9         0.27      3640.58
2023-12-19           5         0.65      3641.22
2023-12-20           5         0.03      3641.25
2023-12-21           7         0.42      3641.67
2023-12-22          30         3.55      3645.22
2023-12-23           9         0.34      3645.56
2023-12-24          41         0.83      3646.39
2023-12-25          11         0.93      3647.32
2023-12-26          19         0.66      3647.98
2023-12-27           1         0.05      3648.03
2023-12-28           6         2.45      3650.48
2023-12-29          17         4.60      3655.08
2023-12-30           7         2.19      3657.27
2023-12-31           1         0.01      3657.28
2024-01-01          22        12.48      3669.75
2024-01-02          54        11.54      3681.29
2024-01-03          60         1.62      3682.91
2024-01-04          39         4.76      3687.67
2024-01-05          33         0.95      3688.63
2024-01-06          47        11.20      3699.83
2024-01-07          26         3.10      3702.92
2024-01-08           7         0.42      3703.35
2024-01-09          42         1.45      3704.79
2024-01-10         165         9.91      3714.70
2024-01-11          21         1.82      3716.52
2024-01-12          47         4.64      3721.16
2024-01-13          35         1.18      3722.34
2024-01-15          35         3.83      3726.17
2024-01-16          17         1.16      3727.32
2024-01-17           7         0.20      3727.52
2024-01-18           9         0.56      3728.08
2024-01-19          80        13.78      3741.86
2024-01-20          30         0.22      3742.09
2024-01-21          45         4.97      3747.06
2024-01-22          61         2.32      3749.38
2024-01-23           3         0.21      3749.58
2024-01-24          30         4.79      3754.38
2024-01-25          51         1.17      3755.55
2024-01-26          17         1.24      3756.78
2024-01-27           5         1.02      3757.80
2024-01-28          16         2.81      3760.61
2024-01-29          11         7.12      3767.73
2024-01-30          49         2.09      3769.83
2024-01-31          27         0.33      3770.16
2024-02-01           2         0.56      3770.72
2024-02-02          10         2.02      3772.73
2024-02-03          15         0.57      3773.30
2024-02-04          14         1.22      3774.52
2024-02-05          18         8.87      3783.38
2024-02-06          38        11.19      3794.57
2024-02-07          20         6.47      3801.04
2024-02-08          13         3.72      3804.77
2024-02-09          22         1.86      3806.62
2024-02-10          13         1.60      3808.22
2024-02-11          57        31.07      3839.29
2024-02-12          67         5.17      3844.46
2024-02-13          16         3.41      3847.87
2024-02-14           4         1.92      3849.79
2024-02-15          11         2.41      3852.21
2024-02-16          37         2.07      3854.27
2024-02-17         122         5.54      3859.82
2024-02-18          20        13.03      3872.85
2024-02-19           3         0.23      3873.07
2024-02-20           4         0.40      3873.47
2024-02-21           6         9.96      3883.43
2024-02-22          16         0.36      3883.80
2024-02-23           5         1.03      3884.83
2024-02-24          34         6.57      3891.40
2024-02-25          20         1.09      3892.50
2024-02-26          60         5.39      3897.89
2024-02-27         112        14.15      3912.03
2024-02-28          11         2.83      3914.86
2024-02-29          17        12.80      3927.66
2024-03-01          17         3.61      3931.27
2024-03-02           3         1.31      3932.58
2024-03-03           7         1.08      3933.65
2024-03-04          19        11.25      3944.91
2024-03-05          17         2.38      3947.29
2024-03-06          12        14.14      3961.42
2024-03-07          30        11.60      3973.02
2024-03-08          10        15.53      3988.55
2024-03-09           9         0.12      3988.68
2024-03-10          20         0.63      3989.31
2024-03-11          43        32.67      4021.97
2024-03-12          17        12.62      4034.59
2024-03-13          21         0.90      4035.49
2024-03-14          32         5.21      4040.69
2024-03-15          17         2.70      4043.39
2024-03-16          27         6.72      4050.11
2024-03-17          39         2.82      4052.93
2024-03-18          22         2.20      4055.13
2024-03-19          10        10.82      4065.96
2024-03-20           2         0.13      4066.08
2024-03-21           2        28.38      4094.47
2024-03-22          10         1.34      4095.80
2024-03-23           8         0.72      4096.52
2024-03-24          41         1.00      4097.52
2024-03-25          57         3.94      4101.45
2024-03-26          20         2.22      4103.67
2024-03-27          15         0.72      4104.39
2024-03-28          23         4.02      4108.40
2024-03-29          38         3.01      4111.42
2024-03-30          24        10.51      4121.93
2024-03-31          32         5.16      4127.09
2024-04-01           8         0.19      4127.28
2024-04-02          18         1.60      4128.89
2024-04-03           4         0.14      4129.03
2024-04-04          39        15.98      4145.01
2024-04-05          29         3.13      4148.14
2024-04-06           3        10.34      4158.48
2024-04-07          35         2.58      4161.06
2024-04-08           6         1.09      4162.15
2024-04-09           4         0.68      4162.83
2024-04-10           9        10.50      4173.33
2024-04-12           3        22.38      4195.72
2024-04-13          17         8.90      4204.61
2024-04-14          19         1.31      4205.92
2024-04-15           1         9.65      4215.57
2024-04-16          64         9.59      4225.16
2024-04-17           7        41.30      4266.46
2024-04-18           7        10.70      4277.16
2024-04-19          26        10.90      4288.06
2024-04-20           2         0.29      4288.35
2024-04-21           9        15.41      4303.76
2024-04-22          27         0.89      4304.65
2024-04-23          18        10.86      4315.51
2024-04-24          14         4.28      4319.79
2024-04-25          33        11.06      4330.86
2024-04-26           3         9.56      4340.42
2024-04-27          22         1.24      4341.66
2024-04-28         123        11.26      4352.92
2024-04-29         118         2.57      4355.49
2024-04-30          13         0.45      4355.94
2024-05-01          25         1.19      4357.13
2024-05-02          23         1.94      4359.07
2024-05-03          45        21.52      4380.59
2024-05-04           4         3.18      4383.77
2024-05-07           5         3.07      4386.83
2024-05-08          14         8.90      4395.73
2024-05-09          16        17.44      4413.17
2024-05-10          24         4.61      4417.78
2024-05-11          25         1.93      4419.72
2024-05-12          40         2.89      4422.61
2024-05-13          45         7.52      4430.13
2024-05-14          23         6.99      4437.11
2024-05-15           4        19.02      4456.13
2024-05-16          19         1.31      4457.44
2024-05-17           9         2.95      4460.39
2024-05-18          22        70.43      4530.83
2024-05-19          30         4.87      4535.70
2024-05-20          15         0.56      4536.26
2024-05-21          15         1.48      4537.74
2024-05-22          21        25.30      4563.03
2024-05-23           6         2.22      4565.25
2024-05-25           6         0.37      4565.62
2024-05-26          12         3.63      4569.25
2024-05-27           1         9.38      4578.63
2024-05-28           3         0.50      4579.13
2024-05-29          17         1.29      4580.42
2024-05-30           8        10.64      4591.06
2024-05-31           4         2.44      4593.50
2024-06-01           4         0.55      4594.05
2024-06-02           2         0.02      4594.07
2024-06-03          22         2.78      4596.84
2024-06-04          10         5.13      4601.97
2024-06-05          17        77.59      4679.56
2024-06-06          20        44.89      4724.45
2024-06-07           1         0.00      4724.45
2024-06-08           8        39.66      4764.11
2024-06-09          18         0.96      4765.07
2024-06-10           1         0.28      4765.35
2024-06-11          12         0.34      4765.69
2024-06-12           2         0.19      4765.88
2024-06-13          30         1.44      4767.32
2024-06-14          30        13.29      4780.62
2024-06-15           1         0.47      4781.09
2024-06-16           9         6.00      4787.08
2024-06-17          24         3.85      4790.94
2024-06-18           9        19.85      4810.79
2024-06-19          35         4.82      4815.60
2024-06-20           7         1.69      4817.29
2024-06-21           9        11.83      4829.13
2024-06-22           3         1.03      4830.16
2024-06-23          10         3.74      4833.90
2024-06-24          15         1.31      4835.21
2024-06-25           9         0.75      4835.96
2024-06-26          11        32.69      4868.65
2024-06-27          26         8.30      4876.95
2024-06-28           7         9.96      4886.92
2024-06-29           7         0.69      4887.61
2024-06-30          10         6.96      4894.57
2024-07-01          41        42.85      4937.42
2024-07-02           5         0.33      4937.75
2024-07-03           2         0.78      4938.53
2024-07-04           9         0.32      4938.85
2024-07-05          15         6.02      4944.87
2024-07-06          15        22.43      4967.29
2024-07-07           5         0.33      4967.63
2024-07-08           5         6.23      4973.86
2024-07-09           6        18.48      4992.34
2024-07-10          10         9.91      5002.25
2024-07-11           3         8.97      5011.22
2024-07-12           2         0.94      5012.16
2024-07-13          14         2.53      5014.69
2024-07-14           6         0.03      5014.72
2024-07-15           9         0.76      5015.47
2024-07-16          15         9.52      5024.99
2024-07-17          25        12.02      5037.01
2024-07-18           1         0.02      5037.03
2024-07-19           6         0.47      5037.50
2024-07-20           7         0.18      5037.69
2024-07-21          14         9.51      5047.19
2024-07-22           1         0.02      5047.21
2024-07-23           2         0.44      5047.66
2024-07-24           3        17.65      5065.30
2024-07-25          38         0.83      5066.13
2024-07-26           7         2.90      5069.03
2024-07-27          10         0.85      5069.88
2024-07-28          11         1.41      5071.29
2024-07-29           5         0.01      5071.31
2024-07-30          10        17.56      5088.87
2024-07-31          11         0.14      5089.02
2024-08-01           3         0.19      5089.20
2024-08-02           1         0.15      5089.35
2024-08-03           1         0.42      5089.77
2024-08-04           3         2.02      5091.79
2024-08-05          52        48.09      5139.88
2024-08-06          12         9.19      5149.07
2024-08-07           4         5.56      5154.63
2024-08-08          12        19.05      5173.68
2024-08-09           5         0.20      5173.88
2024-08-11           6         0.80      5174.68
2024-08-12          21         1.57      5176.25
2024-08-13           4         0.76      5177.01
2024-08-14          10         1.72      5178.74
2024-08-15          14         1.48      5180.22
2024-08-16          36        17.15      5197.37
2024-08-17          28         8.92      5206.29
2024-08-18          18         4.13      5210.42
2024-08-19           2         4.71      5215.13
2024-08-21          15         0.64      5215.76
2024-08-22          19         2.42      5218.19
2024-08-23           4         0.59      5218.78
2024-08-24          18         5.96      5224.74
2024-08-25          13         9.65      5234.40
2024-08-26           4         3.50      5237.89
2024-08-27           1         0.10      5237.99
2024-08-28          10         1.24      5239.24
2024-08-29           1         0.03      5239.27
2024-08-30           1         0.50      5239.76
2024-08-31          12         3.85      5243.62
2024-09-01           7         0.43      5244.05
2024-09-02           5         0.24      5244.29
2024-09-03           4         5.51      5249.80
2024-09-04          19         0.68      5250.48
2024-09-05          42        23.14      5273.62
2024-09-06          30         0.90      5274.51
2024-09-07           6         0.81      5275.33
2024-09-08           4         5.37      5280.70
2024-09-09          13         0.55      5281.25
2024-09-10           5         2.44      5283.69
2024-09-11           4         1.12      5284.81
2024-09-12           4         0.08      5284.89
2024-09-15          12         0.21      5285.10
2024-09-16          36         5.23      5290.33
2024-09-17           7         0.99      5291.32
2024-09-18           7         0.73      5292.05
2024-09-19          11         2.17      5294.22
2024-09-20          13         0.85      5295.07
2024-09-21          11         3.06      5298.13
2024-09-22           7        14.52      5312.65
2024-09-23           3        11.08      5323.73
2024-09-24          14         3.00      5326.73
2024-09-25          13         0.83      5327.56
2024-09-26          12         2.88      5330.44
2024-09-27          27         4.52      5334.97
2024-09-28           7         2.51      5337.48
2024-09-29          15         2.14      5339.62
2024-09-30           8         3.14      5342.76
2024-10-01           3         0.17      5342.93
2024-10-02          34         6.71      5349.63
2024-10-03           3         0.38      5350.01
2024-10-04          21         0.96      5350.97
2024-10-05           3         0.03      5351.00
2024-10-06          25         2.42      5353.42
2024-10-07           6         0.34      5353.75
2024-10-08          13         2.46      5356.21
2024-10-09           8         0.24      5356.44
2024-10-10           8         2.12      5358.56
2024-10-11           4         1.63      5360.20
2024-10-12          17         0.95      5361.15
2024-10-13           9         6.69      5367.84
2024-10-14          14         1.34      5369.19
2024-10-15          30         1.20      5370.38
2024-10-17           3         1.93      5372.31
2024-10-18           4         0.15      5372.46
2024-10-19           8         0.41      5372.87
2024-10-20          13         1.56      5374.43
2024-10-22           4         0.01      5374.44
2024-10-23           6         0.53      5374.98
2024-10-25           5         5.22      5380.20
2024-10-26          13         2.16      5382.35
2024-10-27          13         2.48      5384.83
2024-10-28          12         5.06      5389.89
2024-10-29          38         2.28      5392.17
2024-10-30          46         0.41      5392.58
2024-10-31           5         1.18      5393.77
2024-11-02          13         1.33      5395.10
2024-11-03          12         0.12      5395.21
2024-11-04         184         5.17      5400.38
2024-11-05           6        10.19      5410.57
2024-11-06           7         0.25      5410.82
2024-11-07          43        16.29      5427.11
2024-11-08           8         0.64      5427.75
2024-11-09          13         3.64      5431.39
2024-11-10          10        13.57      5444.97
2024-11-11          13         2.42      5447.39
2024-11-12          53         7.70      5455.08
2024-11-13           7         5.77      5460.85
2024-11-14          16         5.28      5466.13
2024-11-15          30         4.78      5470.91
2024-11-16          13         1.59      5472.50
2024-11-17           9         7.01      5479.52
2024-11-18          15         5.87      5485.38
2024-11-19           6         1.47      5486.85
2024-11-20           3         1.10      5487.96
2024-11-21          51        36.08      5524.03
2024-11-22          16         0.48      5524.52
2024-11-23          20         0.92      5525.44
2024-11-24          28         1.59      5527.03
2024-11-25          14         2.56      5529.59
2024-11-26          37        77.40      5606.99
2024-11-27          11         2.44      5609.43
2024-11-28           3         0.15      5609.58
2024-11-29          11         6.74      5616.31
2024-11-30           2         3.61      5619.93
2024-12-01          13        10.52      5630.45
2024-12-02           6         3.58      5634.03
2024-12-03          19        14.06      5648.09
2024-12-04          10        11.65      5659.74
2024-12-05          14        23.23      5682.97
2024-12-06           1         0.01      5682.98
2024-12-07           6         0.22      5683.20
2024-12-08          24         7.07      5690.28
2024-12-09           3         3.89      5694.17
2024-12-10          23        22.91      5717.08
2024-12-11          20         8.51      5725.58
2024-12-12           8         0.10      5725.69
2024-12-13           1         0.00      5725.69
2024-12-14          11         0.58      5726.27
2024-12-15          13         0.49      5726.76
2024-12-16           6         3.51      5730.27
2024-12-17           8         3.64      5733.91
2024-12-18          16         3.12      5737.03
2024-12-19          14         0.73      5737.75
2024-12-20          20         3.15      5740.91
2024-12-21          20         1.49      5742.40
2024-12-22           7         1.25      5743.64
2024-12-23          12         3.55      5747.19
2024-12-24           7         4.43      5751.62
2024-12-25           2         0.30      5751.92
2024-12-26           4         0.18      5752.10
2024-12-27          27         0.52      5752.62
2024-12-28           2         0.04      5752.66
2024-12-29           9         0.08      5752.74
2024-12-30           8         2.69      5755.42
2024-12-31          18         6.88      5762.31
2025-01-01          11         4.39      5766.70
2025-01-02          15         8.76      5775.46
2025-01-03          19         1.02      5776.48
2025-01-04           4         9.01      5785.48
2025-01-05           3         1.03      5786.51
2025-01-06          15         9.68      5796.19
2025-01-07           6         1.01      5797.21
2025-01-08          97        74.37      5871.58
2025-01-09          11         3.93      5875.51
2025-01-10           5         0.32      5875.83
2025-01-11           4         0.52      5876.35
2025-01-12           1         0.54      5876.89
2025-01-13           4         4.31      5881.20
2025-01-14          19         4.56      5885.76
2025-01-15          44         8.30      5894.05
2025-01-16           6         2.22      5896.28
2025-01-17          13         4.59      5900.87
2025-01-18           8         2.47      5903.34
2025-01-19          10         2.51      5905.85
2025-01-20          15         3.22      5909.07
2025-01-21           9         0.95      5910.02
2025-01-22          17        36.17      5946.19
2025-01-23          13         1.56      5947.75
2025-01-24          23         1.59      5949.34
2025-01-25          13         0.28      5949.62
2025-01-26           9         0.20      5949.83
2025-01-27          21         2.70      5952.53
2025-01-28           1         0.10      5952.63
2025-01-29          11         1.99      5954.61
2025-01-30          12         1.36      5955.97
2025-01-31           8         2.21      5958.18
2025-02-01          22         5.93      5964.11
2025-02-02          23        14.89      5979.01
2025-02-03          49        15.84      5994.85
2025-02-04          22         4.81      5999.66
2025-02-05          19        15.16      6014.81
2025-02-06          30         1.84      6016.65
2025-02-07           4         0.12      6016.77
2025-02-08           6         0.15      6016.91
2025-02-09           7         2.40      6019.31
2025-02-10          23         5.20      6024.52
2025-02-11           6        53.60      6078.12
2025-02-12           6        35.86      6113.98
2025-02-13          11         0.68      6114.65
2025-02-14           5         7.33      6121.99
2025-02-15          13         6.98      6128.97
2025-02-16          15         0.90      6129.86
2025-02-17           4         4.66      6134.53
2025-02-18           6        13.10      6147.63
2025-02-19           7         6.06      6153.68
2025-02-20          28         6.52      6160.20
2025-02-21         213         1.32      6161.52
2025-02-22          10         1.74      6163.26
2025-02-23           2         0.01      6163.27
2025-02-24          11         9.29      6172.56
2025-02-25          22        36.78      6209.34
2025-02-26          23        17.30      6226.63
2025-02-27          38         3.83      6230.46
2025-02-28          25         0.78      6231.25
2025-03-01          14        16.13      6247.37
2025-03-02          53         7.16      6254.53
2025-03-03           8         3.56      6258.09
2025-03-04           6         0.02      6258.10
2025-03-05           9         2.50      6260.60
2025-03-06           3         1.49      6262.09
2025-03-07          13         0.73      6262.82
2025-03-08           9         4.03      6266.85
2025-03-09          20         0.69      6267.54
2025-03-10          15         0.67      6268.21
2025-03-11          12         1.64      6269.85
2025-03-12           7         0.07      6269.91
2025-03-13           6        14.84      6284.75
2025-03-14           1         0.04      6284.79
2025-03-15           1         0.03      6284.81
2025-03-16           1         0.26      6285.08
2025-03-17           5         3.65      6288.73
2025-03-18          11         7.17      6295.90
2025-03-19           1         0.11      6296.01
2025-03-20          17         2.40      6298.41
2025-03-21           2         0.38      6298.79
2025-03-22           1         0.01      6298.80
2025-03-23           3         3.02      6301.82
2025-03-24          30         3.86      6305.68
2025-03-25           4         0.08      6305.76
2025-03-26           1         0.13      6305.89
2025-03-27           9         3.96      6309.84
2025-03-28          25         8.52      6318.36
2025-03-29           8         6.84      6325.20
2025-03-30           7         2.56      6327.76
2025-03-31          35        19.96      6347.72
2025-04-01           7         0.86      6348.57
2025-04-02          29        14.33      6362.90
2025-04-03         163         2.45      6365.35
2025-04-04           8         0.58      6365.93
2025-04-05           3         2.00      6367.93
2025-04-06          19         3.05      6370.98
2025-04-07          10         1.36      6372.35
2025-04-08           8         2.06      6374.41
2025-04-09           6         0.72      6375.13
2025-04-10          11        30.25      6405.38
2025-04-11           9         4.51      6409.89
2025-04-12          17         3.94      6413.83
2025-04-13           3         0.25      6414.08
2025-04-14           6         0.29      6414.37
2025-04-15           2        19.20      6433.57
2025-04-16           3         0.12      6433.69
2025-04-17           4         3.77      6437.45
2025-04-19           9         0.54      6438.00
2025-04-21          36         6.68      6444.67
2025-04-22          23         4.64      6449.31
2025-04-23          25         3.30      6452.62
2025-04-24           3         0.84      6453.46
2025-04-25           4         7.93      6461.39
2025-04-26           3         1.95      6463.33
2025-04-27           1         1.44      6464.78
2025-04-28           5         0.26      6465.04
2025-04-29           3         0.04      6465.08
2025-05-01           7         7.28      6472.35
2025-05-02          19         3.64      6475.99
2025-05-03          15         2.00      6477.99
2025-05-04           6         2.81      6480.80
2025-05-05           5         0.30      6481.10
2025-05-06          14         2.00      6483.10
2025-05-07          26         2.29      6485.39
2025-05-08          10         0.96      6486.35
2025-05-09          13        66.89      6553.24
2025-05-10          15         2.05      6555.29
2025-05-11          11         6.14      6561.42
2025-05-12           6         0.74      6562.17
2025-05-13          14         2.02      6564.19
2025-05-14           3         1.23      6565.42
2025-05-15          19         0.88      6566.31
2025-05-16           6         0.08      6566.39
2025-05-17           5         0.15      6566.54
2025-05-18           1         0.58      6567.12
2025-05-19          12         0.27      6567.39
2025-05-20           6         0.12      6567.51
2025-05-21          13         0.71      6568.22
2025-05-22          14        42.67      6610.89
2025-05-23           4         0.02      6610.92
2025-05-24           2         0.02      6610.93
2025-05-25           2         0.18      6611.11
2025-05-26          14         0.94      6612.05
2025-05-27           4         0.13      6612.17
2025-05-28           6         2.01      6614.18
2025-05-29           3         0.31      6614.49
2025-05-30          49         2.29      6616.78
2025-05-31          72         6.67      6623.44
2025-06-01          13         2.11      6625.56
2025-06-02          31         1.28      6626.83
2025-06-03          11         8.41      6635.25
2025-06-04          12         2.68      6637.92
2025-06-05           4         0.62      6638.54
2025-06-06          11         0.57      6639.11
2025-06-07           4         2.13      6641.24
2025-06-08           2         0.09      6641.33
2025-06-09          24         2.33      6643.66
2025-06-10           6         1.89      6645.54
2025-06-11          15         2.89      6648.43
2025-06-12          30         8.81      6657.25
2025-06-13          15        10.64      6667.88
2025-06-14           5         3.30      6671.19
2025-06-15           5         0.44      6671.62
2025-06-16           7         0.01      6671.63
2025-06-17           6         2.48      6674.11
2025-06-18           1         0.02      6674.13
2025-06-19           2         0.11      6674.24
2025-06-20           3         4.77      6679.01
2025-06-21          13        12.74      6691.76
2025-06-22           6         0.53      6692.29
2025-06-23           5         0.88      6693.17
2025-06-24          11         0.68      6693.85
2025-06-25          12         8.54      6702.39
2025-06-26           3         0.36      6702.75
2025-06-27           5         0.23      6702.98
2025-06-28          18         5.72      6708.70
2025-06-29          26         1.22      6709.93
2025-06-30          43        30.59      6740.52
2025-07-01          16        17.65      6758.17
2025-07-02          13         5.30      6763.47
2025-07-03          29         0.63      6764.10
2025-07-04           4         0.85      6764.95
2025-07-05          12         5.43      6770.39
2025-07-06           5         0.57      6770.96
2025-07-07          74         2.46      6773.42
2025-07-08           9         1.34      6774.75
2025-07-09          21        25.99      6800.74
2025-07-10           4         1.26      6802.00
2025-07-11          52         7.14      6809.14
2025-07-12           1         0.10      6809.24
2025-07-13          10         0.22      6809.46
2025-07-14          11        35.65      6845.11
2025-07-15           5         4.81      6849.91
2025-07-16          10         1.44      6851.35
2025-07-17          43         3.88      6855.23
2025-07-18          21        12.66      6867.90
2025-07-20          20         4.81      6872.71
2025-07-21           6         0.25      6872.95
2025-07-22           6         0.48      6873.43
2025-07-23           3         1.57      6875.00
2025-07-24           2         0.61      6875.62
2025-07-25           8        19.25      6894.87
2025-07-26           2         0.02      6894.89
2025-07-27           8         7.44      6902.32
2025-07-28          11         3.07      6905.39
2025-07-29           3         2.35      6907.74
2025-07-30           6         0.29      6908.03
2025-07-31           2         0.23      6908.26
2025-08-01          14        10.58      6918.84
2025-08-02          17         5.18      6924.03
2025-08-03          13       110.46      7034.49
2025-08-04           3         0.03      7034.52
2025-08-05          11         3.02      7037.54
2025-08-06           4         1.36      7038.90
2025-08-07           3         2.11      7041.00
2025-08-08          12         0.42      7041.42
2025-08-09           7         1.68      7043.10
2025-08-10           4         5.81      7048.91
2025-08-11          52         2.01      7050.92
2025-08-12           1         0.10      7051.02
2025-08-13          19         1.84      7052.86
2025-08-14          12         8.49      7061.35
2025-08-15           4         0.03      7061.39
2025-08-16           7         0.06      7061.44
2025-08-17           5         2.30      7063.74
2025-08-18           4         0.23      7063.97
2025-08-19           7         2.33      7066.30
2025-08-20          26         6.90      7073.19
2025-08-21           4         0.03      7073.23
2025-08-22           3         0.26      7073.48
2025-08-23          23         7.61      7081.09
2025-08-24           5         0.12      7081.20
2025-08-25           3         1.27      7082.47
2025-08-26           1         1.50      7083.97
2025-08-27           4         0.45      7084.42
2025-08-28           2         0.36      7084.77
2025-08-29           4        54.28      7139.06
